Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment
Jul,47307,12179,513,11517,6202,3528,1556
Apr,44502,7766,6741,16816,2555,3037,2758
Nov,42486,7677,4874,18405,9181,1004,5408
Aug,58258,14794,6559,23018,5443,2445,3548
May,77716,4568,989,26389,9522,2361,3622
Jul,30748,9638,1484,27413,5705,4222,2406
Oct,82785,2160,1460,13244,11136,4183,3439
Mar,96050,14627,2282,10615,5839,903,3978
Jul,42738,10067,7267,15468,4958,4831,1040
Nov,94231,5904,6850,15879,5664,2119,1017
Nov,93606,5573,6483,24228,10876,3406,5530
Aug,61662,13369,2369,18078,11628,3513,4728
May,35123,3825,3804,27007,10162,4116,923
Apr,45616,14116,6192,9590,1746,2069,1357
Aug,31182,11815,3144,26332,3184,4216,4677
Aug,82013,7582,7338,15910,8946,639,3336
Mar,51331,3176,5858,17127,10576,2343,2252
Jun,66098,6918,4845,26574,6321,3878,5511
May,46128,13912,6202,12884,10210,3464,2166
Feb,51556,6880,5335,27716,11770,3669,2363
Aug,41876,5220,4168,5662,8148,2672,4961
Dec,28949,13451,4901,13199,3024,3920,2913
Jun,71962,9820,6402,27859,7173,3543,5712
Feb,91206,2130,6532,24471,10734,1749,2618
Dec,44099,8659,2325,26145,3711,3197,4921
May,32716,5562,3807,5668,8018,3253,1849
Jan,72611,3499,3862,14477,10646,4934,3391
Dec,58885,9430,3610,25004,8197,4384,1570
Oct,73144,9705,7641,5160,2702,594,2253
Jun,85220,9626,3265,15590,6529,4791,2636
Dec,27837,8679,4778,16437,8216,4787,4358
Sep,69355,4788,4270,11460,8655,2175,5846
Jan,67299,6876,3192,21401,6417,512,1920
Nov,39159,5708,529,7533,7324,2801,3987
Nov,71012,11899,6007,27894,4873,4583,5521
Oct,79305,3769,1266,9446,9313,872,3441
Dec,37106,11510,7810,18159,10668,4989,4765
Dec,78123,8731,1114,10554,1265,917,1888
Mar,28720,13571,1504,20268,9219,1316,5851
Dec,57661,12965,2621,15509,6378,2303,1119
Jul,41120,13182,3626,7918,3124,4112,3899
Apr,39790,5044,3509,18379,1431,3904,1756
Sep,78655,2375,4319,21699,5974,3439,5277
Mar,79643,8347,523,19132,4777,1832,4218
May,67374,5036,4559,26216,8037,3746,1510
Mar,62907,10852,3593,23595,2085,1255,3183
Jul,70071,8218,7071,12069,7195,4025,925
