Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment,Total_Expense,Savings
Jul,47307,12179,513,11517,6202,3528,1556,35495,11812
Apr,44502,7766,6741,16816,2555,3037,2758,39673,4829
Nov,42486,7677,4874,18405,9181,1004,5408,46549,-4063
Aug,58258,14794,6559,23018,5443,2445,3548,55807,2451
May,77716,4568,989,26389,9522,2361,3622,47451,30265
Jul,30748,9638,1484,27413,5705,4222,2406,50868,-20120
Oct,82785,2160,1460,13244,11136,4183,3439,35622,47163
Mar,96050,14627,2282,10615,5839,903,3978,38244,57806
Jul,42738,10067,7267,15468,4958,4831,1040,43631,-893
Nov,94231,5904,6850,15879,5664,2119,1017,37433,56798
Nov,93606,5573,6483,24228,10876,3406,5530,56096,37510
Aug,61662,13369,2369,18078,11628,3513,4728,53685,7977
May,35123,3825,3804,27007,10162,4116,923,49837,-14714
Apr,45616,14116,6192,9590,1746,2069,1357,35070,10546
Aug,31182,11815,3144,26332,3184,4216,4677,53368,-22186
Aug,82013,7582,7338,15910,8946,639,3336,43751,38262
Mar,51331,3176,5858,17127,10576,2343,2252,41332,9999
Jun,66098,6918,4845,26574,6321,3878,5511,54047,12051
May,46128,13912,6202,12884,10210,3464,2166,48838,-2710
Feb,51556,6880,5335,27716,11770,3669,2363,57733,-6177
Aug,41876,5220,4168,5662,8148,2672,4961,30831,11045
Dec,28949,13451,4901,13199,3024,3920,2913,41408,-12459
Jun,71962,9820,6402,27859,7173,3543,5712,60509,11453
Feb,91206,2130,6532,24471,10734,1749,2618,48234,42972
Dec,44099,8659,2325,26145,3711,3197,4921,48958,-4859
May,32716,5562,3807,5668,8018,3253,1849,28157,4559
Jan,72611,3499,3862,14477,10646,4934,3391,40809,31802
Dec,58885,9430,3610,25004,8197,4384,1570,52195,6690
Oct,73144,9705,7641,5160,2702,594,2253,28055,45089
Jun,85220,9626,3265,15590,6529,4791,2636,42437,42783
Dec,27837,8679,4778,16437,8216,4787,4358,47255,-19418
Sep,69355,4788,4270,11460,8655,2175,5846,37194,32161
Jan,67299,6876,3192,21401,6417,512,1920,40318,26981
Nov,39159,5708,529,7533,7324,2801,3987,27882,11277
Nov,71012,11899,6007,27894,4873,4583,5521,60777,10235
Oct,79305,3769,1266,9446,9313,872,3441,28107,51198
Dec,37106,11510,7810,18159,10668,4989,4765,57901,-20795
Dec,78123,8731,1114,10554,1265,917,1888,24469,53654
Mar,28720,13571,1504,20268,9219,1316,5851,51729,-23009
Dec,57661,12965,2621,15509,6378,2303,1119,40895,16766
Jul,41120,13182,3626,7918,3124,4112,3899,35861,5259
Apr,39790,5044,3509,18379,1431,3904,1756,34023,5767
Sep,78655,2375,4319,21699,5974,3439,5277,43083,35572
Mar,79643,8347,523,19132,4777,1832,4218,38829,40814
May,67374,5036,4559,26216,8037,3746,1510,49104,18270
Mar,62907,10852,3593,23595,2085,1255,3183,44563,18344
Jul,70071,8218,7071,12069,7195,4025,925,39503,30568
May,54812,11595,5651,13511,7259,2296,4524,44836,9976
Sep,69570,2740,3410,26517,11286,4469,716,49138,20432
Jul,70901,10495,6982,11422,3485,3559,1109,37052,33849
Feb,80186,3085,2470,9527,9292,2677,4953,32004,48182
Apr,70251,13371,6600,24099,6398,4056,685,55209,15042
Sep,85171,3210,2038,20622,11346,2550,1224,40990,44181
Dec,56160,13226,7155,11665,6078,2489,5465,46078,10082
Feb,39156,10420,3641,12107,8202,1054,1323,36747,2409
Oct,96208,5119,5267,20531,4048,765,2267,37997,58211
Sep,99980,12046,4469,10132,7502,1422,2477,38048,61932
Oct,92320,2267,7755,15471,1799,2571,5274,35137,57183
May,37929,4774,3424,13662,4822,1033,4389,32104,5825
Feb,86606,13041,1070,11782,6611,4483,1684,38671,47935
Apr,82559,6349,5359,23991,7009,2193,4879,49780,32779
Dec,74205,6965,1742,24716,10487,2551,683,47144,27061
Dec,88475,12326,1212,20993,6263,4190,4108,49092,39383
Jul,84341,10125,7232,26081,9626,3331,4266,60661,23680
Dec,62863,5459,5362,19590,6570,4827,2119,43927,18936
Aug,85439,12461,6378,11745,11805,3420,4826,50635,34804
Mar,27194,2989,1793,10634,10107,4667,2935,33125,-5931
Jan,91387,14684,3366,17567,11467,1385,1234,49703,41684
Apr,86214,2937,2174,11260,5640,1958,657,24626,61588
Feb,49777,8654,6721,19945,6333,4295,1841,47789,1988
Aug,46183,8989,4163,22569,9839,3655,5804,55019,-8836
Apr,47445,10631,6653,28379,3295,3910,3992,56860,-9415
Feb,87038,9342,6087,11109,2431,4524,3754,37247,49791
Jun,36198,8023,1859,27825,6172,1062,1575,46516,-10318
Jun,41411,4358,1135,5915,3361,4526,5622,24917,16494
Oct,70577,12199,1709,28848,8541,3471,2361,57129,13448
Apr,35867,5345,7788,23001,1723,844,3129,41830,-5963
Jun,82501,14322,7235,18669,2547,3216,5635,51624,30877
